id,question,options,answer
c5e39415-91ee-4b90-a8c9-781d281d4d11-80988,"দুটি বৃত্তাকার লুপের ব্যাসার্ধের অনুপাত 1:3। এদের চৌম্বক ভ্রামক পরস্পর সমান হলে, তার দুটির মধ্য দিয়ে তড়িৎ প্রবাহের অনুপাত কত?",['09:01' '03:01' '01:03' '1 : 9'],A
0ccbfe7a-a748-4111-8e13-f34ff0c22071-68302,একটি ফেরোচৌম্বক পদার্থের ক্ষেত্রে -,"['μ>>1, k>>1' 'μ<<1, k>>1' 'μ>>1, k<1' 'μ<1, k=1']",A
c9b7973c-a777-43dd-bee1-d1a08c313f8c-128760,অতিবেগুনি রশ্মির ব্যবহার –,"['রান্নার কাজে / খাবার গরম করতে' 'ক্যান্সার কোষ ধ্বংসে'
 'অন্ধকারে দেখার কাজে' 'vit-D তৈরিতে']",D
f15efee1-4d7f-4807-bf65-f3102c2c6c88-66482,২০ ওহম রোধের একটি গ্যালভানোমিটারের সাথে কত রোধের একটি সান্ট যুক্ত করলে মোট তড়িৎ প্রবাহ মাত্রার ১% গ্যালভানোমিটার এর মধ্য দিয়ে যাবে?,['২ ওহম' '০.২০ ওহম' '২০ ওহম' '২.০২ ওহম'],B
0dc2f65d-96a9-4508-8e66-dcb2c6409c65-111357,উত্তল লেন্স কেমন হতে পারে না ?,['Bi- convex' 'Plano-convex' 'Cylindrical' 'Concavo-convex'],C
420bf53f-a5d1-48f4-b890-4544645bf499-69144,একটি বাড়িতে 220V লাইনের সাথে 88watt এর একটি ফ্যান যুক্ত আছে। ফ্যানের মধ্য দিয়ে প্রবাহিত তড়িৎ এর মান কত ampere?,['0.3' '0.5' '0.4' '0.6'],C
79a139d7-6bde-4339-862f-b8321e8bb662-138062,কোন বন্দুকের গুলি দেয়ালের মধ্যে 1m প্রবেশ করার পর অর্ধেক বেগ হারায়। গুলিটি দেয়ালের মধ্যে আর কতটুকু প্রবেশ করবে?,['1/3' '2/3' '1/4' '1/8'],A
9ea2b4ec-3aa1-4051-b881-efaf34a5ff6f-4669,কোন তীব্রতা লেভেলকে কানের শ্রুতির শুরু বলে?,['1dB' '0dB' '10dB' '2dB'],B
e4395e40-6e9e-4e47-b70b-6a36065bd01e-1573,লেজার রশ্মি বৈশিষ্ট্য-,['Monochromatic' 'Coherent' 'Very intense' 'All of them'],D
164dd308-e8d5-4823-a7eb-32d877f0f423-111722,একটি অসীম পাতল শিটের চার্জিত পরিবাহীর নিকট বিন্দুতে বৈদ্যুতিক ক্ষেত্রর পরিমাণ কত?,['εo' 'σ/ε' 'σ/2ε' 'εσ/2'],C
f11d1da2-9f22-4b78-aaaf-d2ddd93adeb4-137809,আলোক তড়িৎ ক্রিয়া আবিষ্কার করেন-,"['আলবার্ট আইনস্টাইন' 'ম্যাক্স প্লাঙ্ক' 'ওয়ার্নার হাইজেনবার্গ'
 'হেনরিখ হার্টজ']",D
d5f7f5fc-468f-441a-8bca-b8845b9288d6-55275,15Ω রোধের একটি দুই কোরের 100m লম্বা একটি তামার তার প্রয়োজনে উভয় প্রান্ত আলাদা আলাদা জোড়া দিয়ে একটি তার তৈরি করা হল। এই যুক্ত তারের তূল্যরোধ কত Ω হবে?,['15' '30' '7.5' 'কোনটিই নয়।'],C
83161f7d-a9b1-45a9-9c8c-e90730180970-35548,গ্যাসের আয়তন কোন তাপমাত্রায় শূন্য হয়?,['273k' '0°c' '30°F' '0k'],D
45499cb4-e6b5-4254-ba64-ea9e542dd061-102548,একটি ট্রানজিস্টরের ক্ষেত্রে α=0.95 এবং ΔIE=1 mA হলে β এর মান কত?,['76' '38' '57' '19'],D
f8caf70a-1be1-4979-9913-94a2c93f9ee1-57513,"হুইটস্টোন ব্রিজের ১ম, ২য়, ৩য় বাহুতে যথাক্রমে 4, 10 ও 16 ওহমের রোধ স্থাপন করে ৪র্থ বাহুতে কত রোধ স্থাপন করলে ব্রিজটি সাম্যাবস্থায় আসবে?",['30Ω' '50Ω' '40Ω' '60Ω'],C
d6e458b6-9567-435e-9ae1-20c017584b74-50794,হাত ঘড়ির মিনিটের কাঁটার কৌনিক বেগ কত?,['π/180 ms-1' 'π/1800 rads-1' 'π/600 rads-1' 'π/1200 rads-1'],B
e8cb91c0-c5e7-4a47-b87f-684391d31a86-83705,"একটি ইয়ং এর দ্বিচিড় পরীক্ষায় 4 টি উজ্জ্বল ডোরার পার্থক্য 0.25×10-3m চিড় দুটি হতে পর্দার দূরত্ব 0.8। আলোর তরঙ্গ দৈর্ঘ্য 6.2×10-7 m হলে, চিড় দুটির মধ্যে দূরত্ব কত?",['8.0×10-3' '7.90×10-3' '7.94×10-3' '8.1×10-3'],C
15084f59-2941-4bf5-906f-66eb086c7b64-128284,6V শক্তির উৎস দ্বারা একটি বাতির মধ্য দিয়ে 0.3 A বিদ্যুৎ 2 মিনিট ধরে প্রবাহিত করা হলো। এই 2 মিনিটে বাতিটি দ্বারা ব্যয়ের পরিমাণ কত?,['12 J' '1.8 J' '216 J' '220 J'],C
6f4b2436-ee59-48d2-bb8a-d50f4d14e967-62050,একটি কুণ্ডলীতে 12V তড়িৎচালক বল প্রযুক্ত হলে এতে বিদ্যুৎ প্রবাহ পরিবর্তনের হার 40 A/s হয়। কুণ্ডলীর স্বাবেশ গুণাঙ্ক হবে–,['0.3 H' '3.4 H' '30 H' '480 H'],A
24e87dab-a1b5-46d3-97fa-25661cf95bf1-107807,ফোটনের ক্ষেত্রে কোনটি ভুল?,['E=hf' 'm=hf/c2' 'P=hf/c' 'E=mc2'],D
e46d8686-4563-4833-b95c-365001206c1e-4115,আয়তন গুণাঙ্ক এর বিপরীত রাশি কোনটি?,['পয়সনের অনুপাত' 'সংনম্যতা' 'ইয়ং গুণাঙ্ক' 'দৃঢ়তার গুণাঙ্ক'],B
e5e4e1b7-8b1f-411b-a990-ebf16bd283cc-113302,ভূ-স্থির উপগ্রহের আবর্তনকাল-,['1 ঘন্টা' '24 ঘন্টা' '30 ঘন্টা' '36 ঘন্টা'],B
bcaa77ac-468e-4fa5-86b8-feef6939b075-65585,______ গ্রেটিং হচ্ছে আলোর উৎসকে বিশ্লেষনের একটি কৌশল।,['অপবর্তন' 'প্রতিসরণ' 'প্রতিফলন' 'কোনোটিই নয়'],A
3a8a1a45-0d89-47b6-8272-ae97bf9a40c5-122246,একটি কনার উপর `vecF = ( 3hati + 4hatj - 2hatk)` বল প্রয়োগে কনাটির `vecr = ( 6hati - 2hatj + hatk)` সরন হয়।বল দ্বারা সম্পাদিত কাজের পরিমান কত?,['( 9i + 2j - k)j' '8j' '(-3i + 6j -3k) j' '32j'],B
bd32f1fb-d49a-4126-9a20-b90f0693b497-89675,একটি সমান্তরাল পাত ধারকের দুই প্লেটের মাঝে ডাই ইলেকট্রিক পদার্থ ঢুকালে তার সঞ্চিত শক্তি পাচগুণ বৃদ্ধি পায় । ঐ পদার্থের ডাই ইলেকট্রিক ধ্রুবকের মান-,['1/5' '1/25' '5' '25'],C
7c82dd15-823c-413b-95f8-fd5c2b07205a-2099,নিচের কোনটি তাপগতিবিদ্যার অন্তর্ভুক্ত নয়?,"['চাপ প্রয়োগে গ্যাসকে সংকুচিত করা'
 'একটি পানি পূর্ণ পাত্রে একটি চক্র সজোরে ঘুরানো' 'তাপ প্রয়োগে বরফ গলানো'
 'একটি পানিপূর্ণ পাত্র ভূপৃষ্ঠ থেকে উপরে উঠানো']",D
3fdcec77-3c17-498f-a273-dc01fdd75022-136801,যে যন্ত্রের সাহায্যে কোন বর্তনীর তড়িৎ প্রবাহ মাপা হয় তাকে কি বলে?,['অ্যামিটার' 'ভোল্টমিটার' 'গ্যাল্ভানোমিটার' 'কোনটিই নয়'],A
b1cafcff-ea75-49f4-b7a9-ca3002e1f520-114957,কোন মাধ্যমে 640 Hz ও 480 Hz কম্পাংকের দুটি শব্দ তরঙ্গের তরঙ্গদৈর্ঘ্যর পার্থক্য 1 m হলে ঐ মাধ্যমের শব্দ তরঙ্গের বেগ হবে-,['8120 m/s' '1820 m/s' '1920 m/s' '9120 m/s'],C
3d38d2d1-6a5f-4456-a6e5-bff653cb018e-139181,কোন পদার্থের রোধের উষ্ণতা সহগ ঋণাত্মক?,['অ্যালুমিনিয়াম' 'তামা' 'থার্মিস্টর' 'টাংস্টেন'],C
1e451e43-8187-48f4-b852-70b085a7d209-13866,300 Hz কম্পাঙ্কের একটি শব্দ তরঙ্গের পানি ও বাতাসে তরঙ্গদৈর্ঘ্যের পার্থক্য 4.16 m। শব্দের গতি বাতাসে 352 ms-1 হলে পানিতে শব্দের গতি কত? ,[' 800 ms-1' '1200 ms-1' '1600 ms-1' '1800 ms-1'],C
695cebbf-bdd3-4658-bac1-e02f51c3c8e6-71993,"দুটি সমান দৈর্ঘ্যের তারের ব্যাসার্ধের অনুপাত 1:5 । এদের উপর সমান বল প্রয়োগ করা হলো। যদি তার দুটির দৈর্ঘ্য বৃদ্ধির অনুপাত 2:3 হয়, তাহলে ইয়ং গুণাঙ্কের অনুপাত কত?",['4 : 3' '75 : 2' '3 : 24' '74 :5'],B
560128e6-03f2-464c-a1aa-56dcd822e8bc-123697,কোনটি কাজের মাত্রা সমীকরণ?,['MLT-1' 'MLT-2' 'ML2T-2' 'LT-2'],C
d86f80c3-711e-4ad5-b218-f9acef82d243-127615,কোনটি ফেরোচৌম্বিক পদার্থ -,['অ্যালুমিনিয়াম (Al)' 'অ্যান্টিমনি (Sb)' 'কোবাল্ট (Co)' 'সবগুলো'],C
a27f8b2f-961e-4cc7-9448-1ecd47ec09bb-21342,ফারেনহাইট স্কেলের কোন তাপমাত্র সেন্টিগ্রেড স্কেলের পাঠের দ্বিগুণ?,['-80°' '-40°' '160°' '320°'],C
c10388f6-f9d3-4660-98eb-ea96577d91e4-85971,একটি পর্দা থেকে 30cm দূরে একটি মোমবাতি রাখা আছে। পর্দার উপর মোমবাতির একটি 3 গুণ বিবর্ধিত বিশ্ব পেতে হলে তোমাকে কত ফোকাস দূরত্বের দর্পণ ব্যবহার করতে হবে?,['-22.5 cm' '11.25 cm' '5.63 cm' 'None of these'],B
5929026f-b8cf-4d4b-84e2-aec3986f88a0-106384,স্লাইড ক্যালিপার্সের সাহায্যে কোন একটি গোলকের ব্যাস মাপতে গিয়ে প্রধান স্কেল পাঠ পাওয়া গেল 1.5 সেন্টিমিটার এবং ভার্নিয়ার পাঠ পাওয়া গেল 6 সেন্টিমিটার। ভার্নিয়ার ধ্রুবক 0.01 সেন্টিমিটার হলে গোলকের পৃষ্ঠের ক্ষেত্রফল হবে-,"['7.65 বর্গ সেন্টিমিটার' '5.67 বর্গ সেন্টিমিটার' '6.75 বর্গ সেন্টিমিটার'
 '7.50 বর্গ সেন্টিমিটার']",A
84453587-eb78-4ac8-ae5d-d60cb8fc2010-94374,কোন দন্ডের তাপীয় পরিবাহীতা নির্ভর করে এর-,"['দৈর্ঘ্যের উপর' 'ভরের উপর' 'প্রস্থচ্ছেদের ক্ষেত্রফলের উপর'
 'দন্ডের উপাদানের উপর']",D
257e430e-c0e9-43d0-8567-6fc8fd9f7b5b-96703,সরল ছন্দিত স্পন্দনে বিস্তার A হলে স্পন্দিত কণার বিভব শক্তি সর্বোচ্চ হবে যখন সরণ-,['A' 'A/2' 'A/√2' '0'],A
f4dbb4bf-8cd8-4c5a-8331-53d0b90e8e45-129509,75% দক্ষতা সম্পন্ন একটি মোটরের ক্ষমতা 200W । এটি প্রতি সেকেন্ডে কত জুল কাজ করে?,['150J' '75J' '266.7' '50J'],A
6d9b45e1-818b-4568-92cc-b5f721a54ffc-143477,কোনো তাপ ইঞ্জিনে তাপ গৃহীত বা বর্জিত হয় না তাহলে দক্ষতা কত হবে?,['1%' '0%' '100%' '30%'],C
47bb9f7b-c571-4972-b110-92c49fe2fd65-8225,একটি হাইড্রোলিক প্রেসে ছোট পিস্টনে বল প্রয়োগ করা হলো। পিস্টন দুটির ব্যাসদ্বয়ের অনুপাত 5:1 হলে বড় পিস্টনে 50 N কত বলে অনুভুত হবে?,['1050 kg-wt' '1150 kg-wt' '1250 kg-wt' '1260 kg-wt'],C
5ceac9c9-47e4-4347-a8c1-c2065eee142a-32113,একটি বস্তুকে অবতল দর্পণ থেকে 18cm দূরে স্থাপন করা হল। ফোকাস দূরত্ব কত হলে 5 গুণ বিবর্ধিত প্রতিবিম্ব পাওয়া যাবে?,['18 cm' '15 cm' '25 cm' '23 cm'],B
03099d45-8d48-4c67-8347-a57188617d99-92281,"একটি ইঞ্জিন 800 K এবং 400 K তাপমাত্রায় যে দক্ষতায় কাজ করে, ঠিক সম দক্ষতায় কাজ করে TK এবং 900 K তাপমাত্রায়। তাপমাত্রা T এর মান -",['400 K' '1800 K' '1345.85 K' '673 K'],B
5bbd15f5-eb81-4b99-9d3c-df4ce6bb2056-11788,ট্রান্সফরমার পরিবর্তন করে-,['কম্পন' 'শক্তি' 'তাপশক্তি' 'বিভব পার্থক্য'],D
2272f962-edf6-4b46-a88a-779c9fd19e89-139030,একটি তরঙ্গের দুটি বিন্দুর মধ্যে দশা পার্থক্য 3π হলে পথ পার্থক্য হবে—,['λ/2 ' 'λ' '(3λ)/2' '2λ'],C
5774896b-7dc2-4d84-9604-040b465070d2-60539,12 V তড়িচ্চালক শক্তি এবং 0.1Ω অভ্যন্তরীণ রোধের একটি ব্যাটারিকে একটি বৈদ্যুতিক মটরের সাথে সংযুক্ত করলে ব্যাটিরির প্রান্তদ্বয়ের বিভব পার্থক্য দাঁড়ায় 7.0 V । মোটরের সরবরাহকৃত কারেন্টের মান কত?,['50A' '70 A' '120 A' '190A'],A
4d99e72c-c235-4a8c-aed3-e86054d28946-146266,একটি রেফ্রিজারেটরের কার্যসম্পাদন সহগ 2.5। একটি শীতল তাপাধার হতে প্রতি চক্রে 300J তাপ গ্রহণ করে। রেফ্রিজারেটর চালানোর জন্য প্রতি চক্রে বাইরে থেকে কি পরিমান কাজ সম্পাদন করতে হবে?,['120 J' '240 J' '2.5300J2.5300J' 'কোনোটিই নয়'],A
2e4ce33e-1565-4053-a0fa-f498f2a1f2bc-120272,একটি কৃষ্ণ বস্তু 28.98 K এ রাখা আছে। ভীনের ধ্রুবক `28.98xx10^-4mK` হলে উহার সর্বোচ্চ বিকীর্ণ শক্তির তরঙ্গদৈর্ঘ্যে কত?,['1m' '1cm' '0.1mm' '28.98cm'],C
86eee31f-0701-4011-ae7f-0c7dc4a88300-9305,একটি নভোদূরবীক্ষণ যন্ত্রের অভিলক্ষ্য ও অভিনেত্রের ফোকাস দূরত্ব যথাক্রমে 50cm ও 5cm। স্বাভাবিক দর্শনে ফোকাসিং এর ক্ষেত্রে এর দ্বারা সৃষ্ট বিবর্ধন কত?,['55' '45' '15' '10'],D
010722a3-4d56-4a14-9723-ca8fac24238c-18841,দ্বি-চিড় পরীক্ষায় এক বর্ণী আলোক দ্বারা গঠিত ব্যতিচার ঝালরের প্রস্থ 1.33mm । সমস্ত ব্যবস্থাটিকে পানিতে নিমজ্জিত করলে(μ =1.33 )ঝালর প্রস্থ হবে-,['1.33mm' '1 mm' '(1.33)2 mm ' '1.332mm1.332mm'],B
25469b3f-9334-4a30-85ac-1cfb8bdb35c7-79695,অনুভূমিকের সাথে 30oকোন করে ভূ-পৃষ্ঠ থেকে 40ms-1বেগে একটি বুলেট ছোড়া হলো। বুলেটটি 30m দূরে অবস্থিত একটি দেয়ালকে কত উচ্চতায় আঘাত করবে?,['13.64m' '14.64m' '15.5m' '15.5m'],A
a76f7758-5b43-43fb-bc09-4eb445035a3a-95151,ট্রানজিস্টর অ্যামপ্লিফায়ারের ব্যবহার নয় কোনটি?,['অ্যালার্ম সার্কিট' 'ইন্টারকম' 'বৈদ্যুতিক পাখা' 'রেডিও'],C
2ead5d23-ce6d-4d65-924a-b5f1a6aa742c-116604,আহিত ধারকে মোট শক্তির পরিমাণ নয় কোনটি?,['`U=1/2CV^2`' '`U=1/2 .Q^2/C`' '`U=1/2 QV`' '`U= 1/2. Q^2/V`'],B
0612319f-4ed2-460c-8f0b-c4af0139fe14-58313,একটি হাতুড়ির ভর 1 kg । এটি 10 ms-1 বেগে চলে একটি পেরেকের মাথায় আঘাত করল। এতে পেরেকের সরণ হলো 2 cm ।,['100 J' '50 J' '10 J' '0.2 J'],B
dd32809a-7fd3-4df3-8a0b-54ca1af1927a-33061,লন রোলার টানার ক্ষেত্রে রোলারের ওজন কেমন হয়?,['Fcosθ' 'Fsinθ-W' 'W-Fcosθ' 'W-Fsinθ'],D
5199d7fb-81d0-46cb-9928-1b5d582eec9d-473,সমুদ্রে নােঙর করা একটি জাহাজের ক্যাপ্টেন লক্ষ করেন যে ঢেউয়ের শীর্ষগুলাে পরস্পর থেকে 16 m দূরে এবং প্রতি 2 sec পর পর একটি ঢেউ আসছে। ঢেউগুলাের বেগ কত?,['32 ms-1' '16 ms-1' '8 ms-1' '4 ms-1'],C
57af3c9f-a1b8-43fe-95f1-874461aa4375-70335,যদি একটি স্থির তরঙ্গের তরঙ্গদৈর্ঘ্য 40 cm হয় তবে দুটি পাশাপাশি সুস্পন্দ বা নিষ্পন্দ বিন্দুর মধ্যকার দূরত্ব হবে --,['20 cm' '10 cm' '40 cm' '80 cm'],A
9fb35e10-20c4-47bc-8ede-3ddd53b1e18c-113803,16 kg ভরের একটি স্থির বোমা বিস্ফোরিত হয়ে 4 kg ও 12 kg এর দুটি খণ্ড হল। 12 kg ভরের টুকরোটির ভরবেগ 48 kgms-1 হলে অন্য টুকরাটির গতিশক্তি কত?,['48 J' '144 J' '288 J' '192 J'],C
28c2ef55-c56b-4513-85de-2a98b1aebc35-90068,জাতীয় সংসদ ভবনের স্থপতি কে?,['হামিদুর রহমান' 'মাইনুল হোসেন' 'হেনরি এন উইলকিস' 'লুই আই কান'],D
79108066-7f0c-40ad-b769-0ee2c0849da0-27156,একই পাদবিন্দুবিশিষ্ট ভেক্টরসমূহকে কী বলে?,['সম-প্রারম্ভিক ভেক্টর' 'সমতলীয় ভেক্টর' 'সমরেখ ভেক্টর' 'সীমাবদ্ধ ভেক্টর'],A
df582331-84a6-46ca-abef-b782e025146d-52868,"একটি সুরশলাকার কম্পাংক 400 Hz । এই সুরশালাকা 48 বার কম্পনে যে সময় লাগে, সেই সময় শব্দ 40 m দূরত্ব অতিক্রম করলে শব্দের বেগ কত?",['203.3 ms-1' '333.3 ms-1' '323.3 ms-1' '313.3 ms-1'],B
fb785d12-d042-48f0-81fb-30801bc8c7ba-27228,18 μC এবং 9 μC দুটি চার্জ পরস্পর হতে 14cm দূরে অবস্থিত। এদেরকে 9cm দূরে নিয়ে আসতে কতটুকু কাজ করতে হবে?,['8.46 J' '1.234 J' '4.32 J' '5.787 J'],D
6fbf41cd-c6aa-49b9-b5d7-765b1aa7ef4d-37453,"একটি ঘড়ির সেকেন্ড, মিনিট, ঘন্টার কাটাঁর কৌণিক বেগের অনুপাত-",['720:60:1' '1:60:720' '1:12:720' '720:12:1'],D
87b7f177-ac30-42e5-a23d-16c2efc919d9-109913,নিচের কোনটি অক্ষীয় ভেক্টরের উদাহরণ?,['কৌণিক বেগ' 'সরণ' 'ভরবেগ' 'বল'],A
5dfadadc-2d65-44de-b027-9ba2d8ae9f65-144300,রেকটিফায়ার হিসেবে ডায়োড রুপান্তর করে -,"['এসি থেকে ডিসি' 'অস্থির এসি থেকে স্থির ডিসি' 'ডিসি থেকে এসি'
 'উচ্চ বিভব থেকে নিম্ন বিভব']",A
f6f644cd-a27f-4c80-abd6-3138604137f6-58611,তেজস্ক্রিয়তার এসআই একক কী?,['কুরি' 'বেকেরেল' 'রন্টজেন' 'রাদারফোর্ড'],B
5eda1fb0-6bcf-4c29-8607-4c6390409a31-40715,100 kg ভরের একটি বস্তুকে ক্রেনের সাহায্যে 10 cms−1 বেগে ছাদের উপর উঠালে ক্রেনের ক্ষমতা কত?,['0.98 W' '10 W' '98 W' '9800 W'],C
340e68e0-eedb-49d0-bca7-e59b92195768-15378,একটি মিটার ব্রীজের দুই শূন্য স্থানের বামটিতে 2Ω এবং ডানটিতে 3Ω রোধ যুক্ত করা হল। ভারসাম্য বিন্দুর অবস্থান বাম প্রান্ত থেকে কত দূরে হবে ?,['40 cm' '30 cm' '50 cm' '80 cm'],A
733abbb0-33b8-4a87-9168-d5caf6a4f0f9-33485,500g ভরের একটি বস্তুকে স্থির অবস্থান থেকে 2N বল প্রয়োগ করিয়া 1m দূরত্বে সরানো হলো। বস্তুটির উপর কি পরিমাণ কাজ করা হলো?,['2J' '9.8J' '4.9J' '.5J'],A
01cd5ba7-c054-46d6-a325-2eeba624616f-104788,ঘড়ির সেকেন্ডের কাঁটার কৌণিক বেগ কত?,"['`(2pi)/720 rads^-1`' '`(pi)/30 rads^-1`' '`(pi)/360 rads^-1`'
 '`(pi)/2160 rads^-1`']",B
981e8c9c-20cd-4d49-8a8f-f0bd7f7a9470-70293,নিউটনের গতিসূত্র প্রয়োগ করা যায় যখন বস্তুর বেগ আলোর বেগের তুলনায়-,['সমানুপাতিক থাকে' 'প্রায় কাছাকাছি থাকে' 'ব্যস্তানুপাতিক' 'অনেক কম থাকে'],D
f0a7e28e-f392-4da6-8966-672d51a82183-28803,100Ω একটি গ্যালভানোমিটার 10 mA তড়িৎ প্রবাহ নিরাপদে গ্রহণ করতে পারি। 10 A তড়িৎ প্রবাহ মাপার জন্য কত ওহম রোধের একটি শান্টের দরকার হবে?,['0.01' '0.1' '1.0' '10.0'],B
8c552b2a-25ae-41e9-a512-d0d49a2d948d-145820,একটি কোষের তড়িচ্চালক শক্তি 3.5V এবং অভ্যন্তরীণ রোধ 1Ω । কোষের প্রান্তদ্বয় 6Ω দ্বারা যুক্ত করলে কত বিদ্যুৎ প্রবাহিত হবে?,['0.5A' '5A' '3A' '4A'],A
45f15497-67cd-4f52-a49e-8e9bb66edea9-73475,একই তাপমাত্রায় সিলেট অপেক্ষা কুয়াকাটায় বেশি অস্বস্তিকর বোধ হয় কারণ --,"['সমুদ্রপৃষ্ঠ হতে সিলেটের উচ্চতা কুয়াকাটার চেয়ে বেশি'
 'সমুদ্রপৃষ্ঠ হতে সিলেট বহুদূরে' 'বিষুব রেখা হতে সিলেট বেশী দূরে'
 'কোনোটিই নয়']",B
3cbf8dd8-c7b1-458a-b4c2-af96132bf813-29670,কুণ্ডলীর প্যাঁচ সংখ্যা বৃদ্ধি করতে থাকলে কুণ্ডলীর চৌম্বক ভ্রামকের কোন ধরনের পরিবর্তন ঘটে?,"['বৃদ্ধি পায়' 'হ্রাস পায়' 'কোন পরিবর্তন ঘটে না'
 'প্রথমে হ্রাস পায়, পরে বৃদ্ধি পায়']",A
0d42c78a-bcfe-47e5-835d-bcdb4ce4eaea-27161,নিচের কোনটির ঘনত্ব সবচেয়ে বেশি ?,['পৃথিবী' 'সূর্য' 'তারকা' 'কৃষ্ণবিবর'],D
9b851b7f-a044-4661-a11a-f9aeff602a1e-57786,"একটি পানিপূর্ণ কুয়ার দৈর্ঘ্য 5 m, প্রস্থ 3 m ও গভীরতা 10 m। একটি পাম্প 20 মিনিটে কুয়াটিকে পানিশূন্য করেত পারে। পাম্পটির অশ্বক্ষমতা কত?",['4.2 HP' '8.2 HP' '5.5 HP' '6.6 HP'],B
97a08a7b-28bc-429a-be11-beddead64e35-19048,4kg ভরের একটি বস্তু সম্পূর্ণরূপে শক্তিতে রূপান্তরিত হলে শক্তির পরিমাণ হবে___,['3.6×1015J' '3.6×1016J' '3.6×1017J' '3.6×1018J'],C
9a070d47-fb8a-4de1-bb8c-b99f816231f7-39296,18oC তাপমাত্রায় H2 অণুর গড় বেগ কত?,['1905ms−1' '1755.12ms−1' '1555.43ms−1' '1802ms−1'],B
6cd5aed9-dd11-41cb-a27d-a145d3f51d2f-19358,বায়ুমণ্ডলের জলীয়বাষ্পের ঘনীভবনের জন্য নিচের কোনটি সংঘটিত হয়?,['শিশির' 'কুয়াশা' 'ঝড়' 'বৃষ্টি'],C
d41c7644-0629-4256-807b-f8660c2f9162-80765,নিচের কোন নিউক্লিয়াসে প্রোটন ও নিউট্রন সংখ্যা সমান?,['13Al27' '3Li7' '2He4' '1H1'],C
cdc10d96-69ea-444d-b65c-9fff28042469-110783,হাইড্রোজেন পরমাণুর ইলেকট্রন 5×10-11 m ব্যাসার্ধের বৃত্তাকার পথে প্রতি সেকেন্ডে 6.8×1015 বার ঘুরছে। বৃত্তের কেন্দ্রে চৌম্বক ক্ষেত্রের মান হবে-,['2.01×10-15 Wb/m2' '13.67 Wb/m2' '8.54Wb/m2' '12.56Wb/m2'],B
dfaad96c-4928-4940-a2b7-d51b3603dbb6-105172,কোন তাপমাত্রায় কেলভিন ও ফারেনহাইট স্কেলে একই পাঠ পাওয়া যায়?,['574.25° F' '273.16 K' '374.25° F' '375 K'],A
b287943f-a1c7-4af1-addd-faa933c88391-87403,একটি গাড়ি চলতে থাকলে তার টায়ারের মধ্যে দিয়ে কিছু তাপগতি প্রক্রিয়া চলে। এই প্রক্রিয়াটি হল-,"['সমোষ্ণ প্রক্রিয়া' 'রুদ্ধতাপীয় প্রক্রিয়া' 'ধ্রুব আয়তন প্রক্রিয়া'
 'ধ্রুব চাপীয় প্রক্রিয়া']",C
32b8de48-d023-436b-a90e-721533507957-91015,"অভিকর্ষীয় ত্বরণ ধ্রুবক হলে, কোনো বস্তুর মুক্তিবেগের সাথে ওই গ্রহের ব্যাসার্ধের সম্পর্ক হচ্ছে-","['সমানুপাতিক' 'বর্গমূলের সমানুপাতিক' 'ব্যস্তানুপাতিক'
 'বর্গমূলের ব্যস্তানুপাতিক']",B
e4d51177-844d-4eea-b466-2a60a20bf483-47347,"→A=ˆi,→B=2ˆi+ˆk,A→=i^,B→=2i^+k^,→AA→ ও →BB→ -এর মধ্যবর্তী কোণ-",['25.12°' '26.57°' '90.67°' '180.25°'],B
fcb3caf7-6ee3-4cd6-9baf-cdd995130224-97091,`vecA=21hati-13hatJ` এবং `vecB=7hatk` হলে ভেক্টরদ্বয়ের মধ্যবর্তী কোণ কত?,['0o' '63.5o' '90o' '120o'],C
56ed5826-9cb1-483c-878c-c879bb6463bc-127396,t=0 সময়ে সরলদোলন গতিসম্পন্ন কোনো বস্তুর দশাকে বলা হবে-,['কৌণিক দশা' 'রৈখিক দশা' 'আদি দশা' 'তাৎক্ষণিক দশা'],C
99a8263f-5d5d-4dec-9716-150101222c18-144068,একটি বস্তু কণার মোট শক্তি এর স্থির অবস্থান শক্তির তিনগুন । বস্তুটির দ্রুতি বের কর?,"['2.78 X 108 cm/sec' '8.4 X 108 cm/sec ' '3.0 X 108 cm/sec '
 '2.83 X 108 cm/sec']",D
16127875-bc2c-4554-8336-e6306355a7b6-91454,কার কম্পাঙ্ক সর্বাধিক ?,['গামা রশ্মি' 'এক্স রশ্মি' 'রেডিও তরঙ্গ' 'অবহিত তরঙ্গ'],A
fd19cf3f-7e8d-4196-a486-67719072757d-71520,গতিশক্তির মাত্রা কোনটি?,['ML2T2' '`ML^2T^-1`' '`ML^2T^-2`' '`ML^-2T^2`'],C
1e548edd-51bd-4f66-8b0c-dceca1507001-4921,"কাচ উপাদানের প্রতিসরাঙ্ক 0.5 হলে, একটি কাচ স্ন্যাবের সংকট কোণ কত হবে?",['π/4' 'π/3' 'π/2' 'π/6'],D
0ea2bd2d-7d18-40e7-98f5-0c6cff9f164c-137514,কৃষ্ণবস্তুর তাপমাত্রা দ্বিগুণ করলেই বিকিরণ হার কত গুণ বৃদ্ধি পাবে?,['16' '2' '4' '10'],A
